uid,src,title,alt,lieu,lat,lng,categorie,visible
"mer-10","/images/portfolio/Mer/karim-saari-marseille-kayakistes-calanque-falaises-calcaires.webp","Kayak en lévitation sur l'eau turquoise — Calanque d'En-Vau","Vue en plongée d'un kayak rouge naviguant sur les eaux cristallines et turquoises d'une crique sauvage, entourée de falaises calcaires vertigineuses et de pins de Provence typiques du littoral méditerranéen — Calanques de Marseille — © Karim Saari","Calanques d'en-vau","43.202372","5.497996","mer","true"
"mer-100","/images/portfolio/Mer/karim-saari-capbreton-cote-landaise-ocean-atlantique-paysage.webp","Regard vers le large — Estacade de Capbreton","Photographie en profondeur de champ d'une femme de dos portant un bonnet et un manteau chaud, accoudée contre les pilotis en bois sombres de l'Estacade de Capbreton, regardant vers le phare en briques rouges et vert dont le sommet est allumé, avec l'Océan Atlantique et un ciel nuageux à l'horizon. Image d'un paysage de voyage en Nouvelle-Aquitaine — Landes — © Karim Saari","Capbreton","43.654475","-1.445434","horizons","true"
"mer-101","/images/portfolio/Mer/capbreton-2.webp","L'alignement des estacades — Capbreton","Portrait d'une femme en veste de pluie kaki et bonnet devant l'alignement graphique des poteaux numérotés de l'estacade de Capbreton. Les pilotis en bois sombre, marqués par le sel et le temps, créent une perspective géométrique sur le littoral landais — Capbreton — © Karim Saari","Capbreton","43.655176","-1.446463","horizons","true"
"mer-102","/images/portfolio/Mer/sormiou-laurence-2021.webp","Harmonie sous la pinède côtière — Calanque de Sormiou","Portrait de profil d'une femme en robe d'été verte se tenant à l'ombre d'un grand pin d'Alep, sur le sentier du littoral. Elle regarde vers la calanque de Sormiou où l'on aperçoit l'eau turquoise, quelques bateaux au mouillage et les falaises calcaires blanches typiques du Parc National des Calanques — Calanques de Marseille — © Karim Saari","Marseille, Calanque de Sormiou","43.210769","5.424093","mer","true"
"mer-103","/images/portfolio/Mer/sugiton-3.webp","Liberté face aux falaises calcaires — Sugiton","Femme en robe bleue devant les falaises calcaires de la Calanque de Sugiton. Photographie de paysage du Parc national des Calanques — © Karim Saari","Marseille, Calanque de Sugiton","43.21115","5.456701","mer","true"
"mer-104","/images/portfolio/Mer/sugiton-4.webp","Baie de Sugiton et ses falaises calcaires — Calanque de Sugiton","Paysage de la calanque de Sugiton, ses falaises calcaires et les eaux de la Méditerranée le matin. Photographie environnementale — © Karim Saari","Marseille, Calanque de Sugiton","43.211153","5.456626","mer","true"
"mer-105","/images/portfolio/Mer/valensole-2019-3.webp","Éclat de rouge sur le plateau de Valensole — Provence","Silhouette en robe rouge parmi les champs de lavande de l'arrière-pays provençal. Photographie de paysage et lumière provençale — © Karim Saari","Valensole","43.841334","5.988406","terre","true"
"mer-106","/images/portfolio/Mer/valensole-3.webp","Harmonie rouge au cœur de la Provence — Plateau de Valensole","Femme en robe rouge marchant dans les rangées d'un champ de lavande. Photographie de paysage, arrière-pays provençal et lumière naturelle — © Karim Saari","Valensole","43.8437","5.968103","terre","true"
"mer-107","/images/portfolio/Horizons/dune-2-1.webp","Échappée bleue sur la crête — Dune du Pilat","Une femme à la chevelure au vent et en longue robe bleue s'avance sur la crête de sable de la Dune du Pilat. Elle laisse une traînée de pas dans le sable fin et doré. En arrière-plan, la vaste forêt de pins de La Teste-de-Buch s'étend sous un ciel bleu clair, illustrant la rencontre saisissante entre le désert de sable et la nature sauvage du littoral atlantique. Une photo de voyage et de paysage typique de la Gironde — Dune du Pilat — © Karim Saari","Dune du pilat","44.586874","-1.214172","horizons","true"
"mer-109","/images/portfolio/Horizons/dune-4.webp","Échappée verte face à l'océan de pins — Dune du Pilat","Une femme à la chevelure au vent, vêtue d'une robe d'été à motif vert et jaune, se tient sur la crête de sable fin de la Dune du Pilat. Elle regarde vers la vaste forêt de pins de La Teste-de-Buch qui s'étend à perte de vue sous la lumière douce du matin. Une photo de voyage et de paysage typique du littoral aquitain, mêlant la nature d'un désert de sable et la forêt — Dune du Pilat — © Karim Saari","Dune du pilat","44.587088","-1.214944","horizons","true"
"mer-110","/images/portfolio/Horizons/dune-5.webp","Silhouette de la Dune du Pilat depuis les parcs — Cap Ferret","Voilier naviguant derrière les piquets ostréicoles avec la dune en arrière-plan. Photographie de paysage et horizons lointains — © Karim Saari","Cap Ferret","44.643034","-1.24174","horizons","true"
"mer-111","/images/portfolio/Horizons/fanal-2.webp","Silhouette bleue face à l'océan de nuages — Fanal, Madère","Femme en robe bleue contemplant une mer de nuages depuis les sommets. Photographie de paysage, horizons lointains et voyage — © Karim Saari","Fanal, Madère","32.810536","-17.142781","horizons","true"
"mer-112","/images/portfolio/Horizons/praia-formosa-2.webp","Crépuscule sur le sable noir — Praia Formosa","Femme seule face à l'océan sur une plage volcanique au coucher du soleil. Photographie de paysage, horizons lointains et voyage — © Karim Saari ","Praia Formosa, Madère","32.64202","-16.957271","horizons","true"
"mer-113","/images/portfolio/Horizons/yellow-time-2.webp","Éclat chromatique sous le soleil de Madère — Ponta do Sol","Femme souriante en tenue estivale devant un mur bicolore jaune et gris. Photographie de voyage et carnet de voyage — © Karim Saari","Madère, Ponta do Sol","32.68043","-17.104197","horizons","true"
"mer-114","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-1.webp","Randonnée dans la Calanque d'En-Vau — Parc national des Calanques","Écorce texturée de pin de Provence lors d'une randonnée dans la Calanque d'En-Vau au cœur du littoral méditerranéen — © Karim Saari","Marseille, Calanque d'En-Vau ","43.202372","5.497996","mer","false"
"mer-115","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-2.webp","Marseille photographie paysages karimssari 2","Marseille photographie paysages karimssari 2","","","","mer","false"
"mer-116","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-3.webp","Marseille photographie paysages karimssari 3","Marseille photographie paysages karimssari 3","","","","mer","false"
"mer-117","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-4.webp","Marseille photographie paysages karimssari 4","Marseille photographie paysages karimssari 4","","","","mer","false"
"mer-118","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-5.webp","Marseille photographie paysages karimssari 5","Marseille photographie paysages karimssari 5","","","","mer","false"
"mer-119","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-6.webp","Marseille photographie paysages karimssari 6","Marseille photographie paysages karimssari 6","","","","mer","false"
"mer-12","/images/portfolio/Mer/karim-saari-marseille-grotte-calanque-turquoise-pins-falaises.webp","Fenêtre sur la cathédrale calcaire — Calanque de Sugiton","Panorama littoral capturé à travers les branches d'un pin parasol révélant l'eau turquoise et cristalline de la Méditerranée, entourée de falaises calcaires blanches et d'une nature sauvage préservée en Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanques de sugiton","43.211581","5.455367","mer","true"
"mer-120","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-7.webp","Marseille photographie paysages karimssari 7","Marseille photographie paysages karimssari 7","","","","mer","false"
"mer-121","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-8.webp","Le Kraken de Wings of the Ocean — Vieux-Port de Marseille","Le navire de dépollution Le Kraken à quai dans le Vieux-Port, observé depuis une barquette traditionnelle de l'association Boud'mer, symbole de l'engagement associatif littoral","Marseille, vieux-port","43.295111","5.374028","mer","true"
"mer-122","/images/portfolio/Mer/marseille-photographie-paysages-karimssari-9.webp","Marseille photographie paysages karimssari 9","Marseille photographie paysages karimssari 9","","","","mer","false"
"mer-123","/images/portfolio/Horizons/biarritz-cote-basque-karimsaari-1.webp","Surfeur face à l'Océan au Coucher de Soleil — Biarritz","Surfeur attendant la vague face à l'océan au coucher de soleil à la plage d'Ilbarritz à Biarritz. — © Karim Saari","Biarritz","43.460138","-1.578773","horizons","true"
"mer-124","/images/portfolio/Horizons/biarritz-cote-basque-karimsaari-2.webp","Autoportrait panoramique HDR — Biarritz, plage d'Ilbarritz","Autoportrait frontal d'un homme face à l'Océan Atlantique au crépuscule sur la plage d'Ilbarritz à Biarritz, illustrant les horizons lointains — © Karim Saari","Biarritz","43.4608","-1.5806","horizons","true"
"mer-13","/images/portfolio/Mer/karim-saari-marseille-coucher-soleil-calanque-plage-galets.webp","Lueur matinale sur le rivage — Calanque de Sormiou","Lever de soleil rasant sur la plage de Sormiou, projetant une lumière dorée sur le sable humide et les vagues douces de la Méditerranée au pied des falaises calcaires — Calanques de Marseille — © Karim Saari","Marseille, Calanque de Sormiou","43.210133","5.420149","mer","true"
"mer-14","/images/portfolio/Mer/karim-saari-marseille-silhouettes-notre-dame-garde-flaque.webp","Miroir sur l'esplanade — Le J4, Marseille","Deux silhouettes contemplatives assises sur un banc face à la mer, se reflétant dans une immense flaque d'eau après la pluie sous un ciel nuageux spectaculaire au-dessus du littoral marseillais — Esplanade du MUCEM, Marseille — © Karim Saari","Marseille, esplanade du MUCEM","43.296586","5.359927","mer","true"
"mer-2","/images/portfolio/Mer/karim-saari-marseille-bateau-peche-calanque-turquoise-aerien.webp","Lévitation sur le lagon — Calanque de Sormiou","Bateau blanc de plaisance semblant voler au-dessus du fond marin grâce à la clarté exceptionnelle de l'eau turquoise et cristalline, illustrant la beauté fragile du littoral de Provence — Calanques de Marseille — © Karim Saari","Marseille, Calanque de Sormiou","43.210133","5.420149","mer","true"
"mer-20","/images/portfolio/Mer/karim-saari-marseille-vallon-auffes-coucher-soleil-barques.webp","Éclat solaire sur les pointus — Vallon des Auffes","Pointus traditionnels marseillais amarrés dans le port pittoresque du Vallon des Auffes sous un soleil couchant perçant à travers les arches du viaduc, reflets dorés sur l'eau et maisons typiques du littoral de Provence — Marseille — © Karim Saari","Marseille, Le vallon des Auffes","43.285326","5.351342","mer","true"
"mer-22","/images/portfolio/Mer/karim-saari-marseille-falaises-volcaniques-rouges-cote.webp","Éclat pourpre sur les falaises — Ponta de São Lourenço","Une femme en robe rouge contrastant avec les falaises volcaniques ocres et les roches sombres d'une plage de galets sauvage au bord de l'océan Atlantique lors d'un voyage à Madère — Madère, Portugal — © Karim Saari","Ponta de São Lourenço, Madère, Portugal","32.744535","-16.703627","horizons","true"
"mer-23","/images/portfolio/Mer/karim-saari-marseille-calanque-aiguilles-eau-cristalline.webp","Fenêtre sur le Cap Croisette — Marseille","Cadre pittoresque à travers la fenêtre ouverte d'un cabanon de pêcheur traditionnel révélant les barques colorées, les rochers calcaires et la mer Méditerranée au Cap Croisette — Marseille — © Karim Saari","Marseille, cap croisette","43.213695","5.337419","mer","true"
"mer-30","/images/portfolio/Mer/karim-saari-marseille-street-art-poisson-mur.webp","Poisson urbain en relief — Street-art Marseille","Œuvre de street-art représentant un poisson aux couleurs vives orange et turquoise sur un fond texturé gris avec l'inscription ""MARSEILLE"", témoignant de la culture maritime et de l'engagement pour la protection de la biodiversité marine — Marseille — © Karim Saari","Marseille, Mucem","43.297547","5.361515","mer","true"
"mer-32","/images/portfolio/Mer/karim-saari-marseille-fisheye-calanques-sommets-rochers.webp","Immensité bleue sur la crête — Calanque de Sormiou","Vue panoramique au grand angle depuis les sommets calcaires où une femme en robe bleue contemple l'anse de Sormiou, ses eaux turquoises et l'archipel de Riou à l'horizon. Un paysage spectaculaire du littoral de Provence idéal pour la randonnée — Calanques de Marseille — © Karim Saari","Calanques de Marseille","43.215648","5.426888","mer","true"
